,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
107,307,2023-11-8 13:04,17.8732,5.45927,-0.02309,0.857361,-0.223911,-0.097778,-0.006225,0.997558,0.305185,0.373851,-0.030518,0.857361,-0.223911,0
108,308,2023-11-8 13:04,17.8732,5.459,-0.026939,0.951599,-0.227139,-0.108032,-0.005126,0.994262,0.274666,0.366222,-0.106814,0.951599,-0.227139,0
109,309,2023-11-8 13:04,17.8732,5.45869,-0.031337,1.0562,-0.229382,-0.116088,0,0.996826,0.244148,0.38911,-0.129703,1.0562,-0.229382,0
110,310,2023-11-8 13:04,17.8732,5.45827,-0.041783,1.16775,-0.225859,-0.123413,0.001098,0.996826,0.228888,0.411999,-0.068666,1.16775,-0.225859,0
111,311,2023-11-8 13:04,17.8732,5.45779,-0.04783,1.28557,-0.220454,-0.129638,-0.000732,0.997924,0.297555,0.434888,0.015259,1.28557,-0.220454,0
112,312,2023-11-8 13:04,17.8732,5.45725,-0.053878,1.40805,-0.216218,-0.143188,-0.000732,0.998657,0.39674,0.450148,0.099185,1.40805,-0.216218,0
113,313,2023-11-8 13:04,17.8732,5.45657,-0.067622,1.54324,-0.211427,-0.144287,-0.00476,0.994628,0.457777,0.457777,0.137333,1.54324,-0.211427,0
114,314,2023-11-8 13:04,17.8732,5.45582,-0.075319,1.67771,-0.211697,-0.145385,-0.007324,0.996093,0.419629,0.465407,0.122074,1.67771,-0.211697,0
115,315,2023-11-8 13:04,17.8732,5.45499,-0.083016,1.81056,-0.216037,-0.147949,-0.005126,0.996459,0.305185,0.473036,0.068666,1.81056,-0.216037,0
116,316,2023-11-8 13:04,17.8732,5.45399,-0.100059,1.94358,-0.21882,-0.143554,-0.002929,0.995727,0.205999,0.473036,0.007629,1.94358,-0.21882,0
117,317,2023-11-8 13:04,17.8732,5.45299,-0.100059,2.06886,-0.219317,-0.144653,-0.003662,0.996093,0.183111,0.442518,-0.038148,2.06886,-0.219317,0
118,318,2023-11-8 13:04,17.8732,5.45045,-0.136345,2.32108,-0.217948,-0.151611,-0.001831,0.997924,0.259407,0.366222,-0.007629,2.32108,-0.217948,0
119,319,2023-11-8 13:04,17.8732,5.44909,-0.136345,2.44656,-0.215948,-0.147583,-0.002563,1.00049,0.305185,0.350962,0.030518,2.44656,-0.215948,0
120,320,2023-11-8 13:04,17.8732,5.44754,-0.155037,2.56478,-0.214188,-0.141357,-0.004028,0.992797,0.366222,0.366222,0.038148,2.56478,-0.214188,0
